customer_name,table_number,customer_phone,bill_id,description,quantity,unit_price,tax_rate,discount
Erika Stephens,10,(782)257-9700,BILL-515839,Cheeseburger,1,2889,0.18,2.87
Erika Stephens,10,(782)257-9700,BILL-515839,Lemonade,4,2450,0.18,0.02
Erika Stephens,10,(782)257-9700,BILL-515839,Cheeseburger,2,2889,0.18,7.74
Erika Stephens,10,(782)257-9700,BILL-515839,Veggie Burger,3,2975,0.18,7.6
Erika Stephens,10,(782)257-9700,BILL-515839,Coke,3,1411,0.18,2.75
Erika Stephens,10,(782)257-9700,BILL-515839,Lemonade,2,2450,0.18,1.28
Erika Stephens,10,(782)257-9700,BILL-515839,Ice Cream Sundae,1,2516,0.18,4.09
Erika Stephens,10,(782)257-9700,BILL-515839,Pepperoni Pizza,3,2983,0.18,9.86
Erika Stephens,10,(782)257-9700,BILL-515839,Margherita Pizza,2,3448,0.18,2.44
Erika Stephens,10,(782)257-9700,BILL-515839,Grilled Chicken,2,1555,0.18,3.46
Erika Stephens,10,(782)257-9700,BILL-515839,Cheeseburger,4,2889,0.18,4.92
Erika Cooper,7,(879)817-0129x425,BILL-248397,Pepperoni Pizza,4,2983,0.18,8.19
Erika Cooper,7,(879)817-0129x425,BILL-248397,Cheeseburger,1,2889,0.18,1.42
Erika Cooper,7,(879)817-0129x425,BILL-248397,Orange Juice,2,2279,0.18,5.64
Erika Cooper,7,(879)817-0129x425,BILL-248397,Grilled Chicken,4,1555,0.18,5.09
Erika Cooper,7,(879)817-0129x425,BILL-248397,Pepperoni Pizza,2,2983,0.18,9.13
Erika Cooper,7,(879)817-0129x425,BILL-248397,Pepperoni Pizza,2,2983,0.18,8.16
Erika Cooper,7,(879)817-0129x425,BILL-248397,Chocolate Cake,4,3166,0.18,5.11
Erika Cooper,7,(879)817-0129x425,BILL-248397,Grilled Chicken,3,1555,0.18,8.34
Erika Cooper,7,(879)817-0129x425,BILL-248397,Caesar Salad,4,1384,0.18,9.86
Erika Cooper,7,(879)817-0129x425,BILL-248397,Coke,3,1411,0.18,5.61
Erika Cooper,7,(879)817-0129x425,BILL-248397,Chocolate Cake,3,3166,0.18,4.49
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Veggie Burger,4,2975,0.18,7.22
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Margherita Pizza,3,3448,0.18,4.26
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Coke,5,1411,0.18,5.47
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Lemonade,5,2450,0.18,7.92
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Chocolate Cake,2,3166,0.18,6.96
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Spaghetti Bolognese,2,804,0.18,2.67
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Orange Juice,1,2279,0.18,2.95
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Pepperoni Pizza,1,2983,0.18,4.23
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Ice Cream Sundae,3,2516,0.18,4.76
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Veggie Burger,2,2975,0.18,2.55
Elizabeth Parker,9,426-755-6854x8628,BILL-685315,Grilled Chicken,3,1555,0.18,4.94
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Cheeseburger,4,2889,0.18,5.58
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Spaghetti Bolognese,3,804,0.18,5.72
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Grilled Chicken,2,1555,0.18,0.0
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Grilled Chicken,4,1555,0.18,0.14
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Chocolate Cake,4,3166,0.18,1.19
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Spaghetti Bolognese,3,804,0.18,1.13
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Lemonade,4,2450,0.18,3.91
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Ice Cream Sundae,1,2516,0.18,7.4
Caleb Gonzalez,11,+1-598-622-6384,BILL-617796,Veggie Burger,3,2975,0.18,3.29
Michael Lee,14,(215)355-4235,BILL-141690,Lemonade,5,2450,0.18,7.66
Michael Lee,14,(215)355-4235,BILL-141690,Chocolate Cake,5,3166,0.18,2.98
Michael Lee,14,(215)355-4235,BILL-141690,Pasta Alfredo,4,1430,0.18,1.23
Michael Lee,14,(215)355-4235,BILL-141690,Pasta Alfredo,5,1430,0.18,8.19
Michael Lee,14,(215)355-4235,BILL-141690,Ice Cream Sundae,3,2516,0.18,5.76
Michael Lee,14,(215)355-4235,BILL-141690,Grilled Chicken,5,1555,0.18,9.39
Michael Lee,14,(215)355-4235,BILL-141690,Pasta Alfredo,2,1430,0.18,2.47
Michael Lee,14,(215)355-4235,BILL-141690,Coke,4,1411,0.18,2.81
Michael Lee,14,(215)355-4235,BILL-141690,Chocolate Cake,2,3166,0.18,0.11
Michael Lee,14,(215)355-4235,BILL-141690,Coke,4,1411,0.18,9.42
Mark Ford,19,737-437-2341x248,BILL-903289,Coke,3,1411,0.18,4.19
Mark Ford,19,737-437-2341x248,BILL-903289,Ice Cream Sundae,2,2516,0.18,6.48
Mark Ford,19,737-437-2341x248,BILL-903289,Caesar Salad,5,1384,0.18,1.65
Mark Ford,19,737-437-2341x248,BILL-903289,Veggie Burger,3,2975,0.18,7.88
Mark Ford,19,737-437-2341x248,BILL-903289,Ice Cream Sundae,5,2516,0.18,9.62
Mark Ford,19,737-437-2341x248,BILL-903289,Pasta Alfredo,3,1430,0.18,4.12
Mark Ford,19,737-437-2341x248,BILL-903289,Spaghetti Bolognese,2,804,0.18,5.24
Mark Ford,19,737-437-2341x248,BILL-903289,Coke,1,1411,0.18,0.99
Mark Ford,19,737-437-2341x248,BILL-903289,Pepperoni Pizza,3,2983,0.18,6.68
Mark Ford,19,737-437-2341x248,BILL-903289,Ice Cream Sundae,1,2516,0.18,2.99
Mark Ford,19,737-437-2341x248,BILL-903289,Orange Juice,4,2279,0.18,9.68
Mark Ford,19,737-437-2341x248,BILL-903289,Coke,1,1411,0.18,6.24
Daniel Stevenson,13,(520)357-4945,BILL-476000,Cheeseburger,1,2889,0.18,7.05
Daniel Stevenson,13,(520)357-4945,BILL-476000,Margherita Pizza,3,3448,0.18,4.3
Daniel Stevenson,13,(520)357-4945,BILL-476000,Spaghetti Bolognese,5,804,0.18,9.28
Daniel Stevenson,13,(520)357-4945,BILL-476000,Cheeseburger,1,2889,0.18,4.18
Daniel Stevenson,13,(520)357-4945,BILL-476000,Pasta Alfredo,3,1430,0.18,8.59
Daniel Stevenson,13,(520)357-4945,BILL-476000,Cheeseburger,1,2889,0.18,0.86
Daniel Stevenson,13,(520)357-4945,BILL-476000,Veggie Burger,1,2975,0.18,9.72
Daniel Stevenson,13,(520)357-4945,BILL-476000,Orange Juice,1,2279,0.18,5.42
Andrew Wright,19,553.764.6402x043,BILL-444879,Lemonade,2,2450,0.18,6.34
Andrew Wright,19,553.764.6402x043,BILL-444879,Grilled Chicken,2,1555,0.18,5.84
Andrew Wright,19,553.764.6402x043,BILL-444879,Spaghetti Bolognese,3,804,0.18,9.5
Andrew Wright,19,553.764.6402x043,BILL-444879,Caesar Salad,1,1384,0.18,6.52
Andrew Wright,19,553.764.6402x043,BILL-444879,Grilled Chicken,2,1555,0.18,7.44
Andrew Wright,19,553.764.6402x043,BILL-444879,Veggie Burger,2,2975,0.18,6.44
Andrew Wright,19,553.764.6402x043,BILL-444879,Caesar Salad,1,1384,0.18,7.49
Andrew Wright,19,553.764.6402x043,BILL-444879,Pepperoni Pizza,2,2983,0.18,6.42
Andrew Wright,19,553.764.6402x043,BILL-444879,Lemonade,4,2450,0.18,9.19
Andrew Wright,19,553.764.6402x043,BILL-444879,Grilled Chicken,2,1555,0.18,3.67
Andrew Wright,19,553.764.6402x043,BILL-444879,Cheeseburger,4,2889,0.18,4.25
Andrew Wright,19,553.764.6402x043,BILL-444879,Caesar Salad,5,1384,0.18,1.93
Kyle Chan,6,6147186375,BILL-725394,Caesar Salad,2,1384,0.18,2.88
Kyle Chan,6,6147186375,BILL-725394,Veggie Burger,1,2975,0.18,7.0
Kyle Chan,6,6147186375,BILL-725394,Margherita Pizza,2,3448,0.18,8.37
Kyle Chan,6,6147186375,BILL-725394,Spaghetti Bolognese,4,804,0.18,1.09
Kyle Chan,6,6147186375,BILL-725394,Pasta Alfredo,3,1430,0.18,2.42
Kyle Chan,6,6147186375,BILL-725394,Ice Cream Sundae,3,2516,0.18,1.34
Kyle Chan,6,6147186375,BILL-725394,Veggie Burger,2,2975,0.18,6.31
Kyle Chan,6,6147186375,BILL-725394,Spaghetti Bolognese,3,804,0.18,0.4
Kyle Chan,6,6147186375,BILL-725394,Grilled Chicken,2,1555,0.18,5.88
Kyle Chan,6,6147186375,BILL-725394,Spaghetti Bolognese,5,804,0.18,8.17
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Margherita Pizza,4,3448,0.18,5.72
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Orange Juice,5,2279,0.18,0.29
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Caesar Salad,3,1384,0.18,7.4
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Pepperoni Pizza,3,2983,0.18,3.03
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Pepperoni Pizza,1,2983,0.18,7.47
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Ice Cream Sundae,2,2516,0.18,8.59
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Lemonade,1,2450,0.18,8.02
Emily Doyle,16,001-522-718-2540x891,BILL-260128,Spaghetti Bolognese,5,804,0.18,0.82
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Cheeseburger,3,2889,0.18,6.68
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Chocolate Cake,5,3166,0.18,6.03
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Cheeseburger,1,2889,0.18,3.37
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Chocolate Cake,1,3166,0.18,5.13
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Lemonade,2,2450,0.18,2.38
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Ice Cream Sundae,2,2516,0.18,7.5
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Ice Cream Sundae,1,2516,0.18,0.89
Amanda Moore,4,+1-900-588-6601x95438,BILL-812726,Coke,1,1411,0.18,1.33
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Cheeseburger,2,2889,0.18,8.57
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Spaghetti Bolognese,5,804,0.18,6.66
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Spaghetti Bolognese,3,804,0.18,4.66
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Caesar Salad,4,1384,0.18,3.87
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Spaghetti Bolognese,1,804,0.18,0.02
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Cheeseburger,1,2889,0.18,3.37
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Orange Juice,4,2279,0.18,8.17
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Lemonade,3,2450,0.18,2.46
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Coke,1,1411,0.18,0.39
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Orange Juice,3,2279,0.18,0.7
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Grilled Chicken,3,1555,0.18,8.3
Timothy Frye MD,5,681-904-0096x744,BILL-142016,Spaghetti Bolognese,4,804,0.18,5.1
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Ice Cream Sundae,1,2516,0.18,7.09
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Chocolate Cake,2,3166,0.18,2.49
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Veggie Burger,3,2975,0.18,5.8
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Ice Cream Sundae,5,2516,0.18,4.58
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Veggie Burger,5,2975,0.18,8.34
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Spaghetti Bolognese,3,804,0.18,4.52
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Pasta Alfredo,4,1430,0.18,3.8
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Lemonade,3,2450,0.18,5.07
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Orange Juice,2,2279,0.18,3.84
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Coke,1,1411,0.18,9.8
Ruth Hendricks,16,001-289-417-1971x8035,BILL-113052,Coke,3,1411,0.18,8.37
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Ice Cream Sundae,2,2516,0.18,4.56
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Spaghetti Bolognese,5,804,0.18,6.1
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Coke,4,1411,0.18,1.88
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Grilled Chicken,2,1555,0.18,5.17
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Chocolate Cake,2,3166,0.18,3.49
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Margherita Pizza,5,3448,0.18,9.63
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Ice Cream Sundae,5,2516,0.18,4.52
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Margherita Pizza,1,3448,0.18,2.85
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Cheeseburger,2,2889,0.18,2.28
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Pasta Alfredo,5,1430,0.18,1.32
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Chocolate Cake,2,3166,0.18,0.49
Sherry Smith,17,001-907-354-3685x25272,BILL-609401,Lemonade,1,2450,0.18,4.91
